iter	Logloss
0	0.6818371234
1	0.6729675831
2	0.6640159903
3	0.6562398825
4	0.6443923015
5	0.635169476
6	0.6258975239
7	0.6189411075
8	0.6130178972
9	0.6075708269
10	0.6000224861
11	0.594998533
12	0.5879841053
13	0.5834937963
14	0.5795195851
15	0.5746833177
16	0.5689579874
17	0.5654001579
18	0.5599862722
19	0.5567762588
20	0.5527589571
21	0.5495298954
22	0.5472906433
23	0.5440727646
24	0.5413269687
25	0.5393882041
26	0.5369468321
27	0.5345657977
28	0.532142994
29	0.5299602221
30	0.5279249937
31	0.5250808227
32	0.5231693911
33	0.5216506763
34	0.5191030826
35	0.5169178068
36	0.5154113505
37	0.5139060932
38	0.5113584017
39	0.5092295059
40	0.5074507718
41	0.5058576355
42	0.5046232504
43	0.5036984752
44	0.5018222304
45	0.5003899434
46	0.4994348804
47	0.4981754728
48	0.4972490161
49	0.4959637922
50	0.4951177657
51	0.4942686518
52	0.4933971527
53	0.4926522545
54	0.4917557383
55	0.4905696445
56	0.4898709846
57	0.4893166394
58	0.4886757278
59	0.4880220197
60	0.4866010954
61	0.4853253776
62	0.4848857071
63	0.4838067973
64	0.4831803272
65	0.482586491
66	0.4819908948
67	0.4814176064
68	0.4809202792
69	0.4798433099
70	0.4788040101
71	0.4781888002
72	0.477677535
73	0.4771241174
74	0.4768391169
75	0.4765591735
76	0.4760366532
77	0.475611788
78	0.4750599159
79	0.4747505723
80	0.4743476575
81	0.4739637968
82	0.4737122311
83	0.4732337612
84	0.4726412078
85	0.4722534536
86	0.4718064306
87	0.4713987798
88	0.4704120175
89	0.4701220379
90	0.4695011147
91	0.4691828586
92	0.4689001539
93	0.4685021514
94	0.4679333139
95	0.4675989991
96	0.4669342469
97	0.4665937519
98	0.4659812988
99	0.4656679719
100	0.465220361
101	0.4649350622
102	0.4645933862
103	0.4643584286
104	0.4640844431
105	0.4638680632
106	0.4636498362
107	0.4631393349
108	0.462883433
109	0.4627059105
110	0.4624694904
111	0.4622445376
112	0.4619027783
113	0.4616715097
114	0.461472514
115	0.4611407544
116	0.4609172077
117	0.4606871438
118	0.4605013336
119	0.4602552066
120	0.4597430676
121	0.4595143343
122	0.4592424655
123	0.4590429831
124	0.4588296765
125	0.4584111827
126	0.4579970189
127	0.4577812846
128	0.4573860069
129	0.457089103
130	0.4566873573
131	0.4565088157
132	0.4562808595
133	0.4559888597
134	0.4556787453
135	0.4554195462
136	0.455268707
137	0.4549883372
138	0.4546260786
139	0.4542202433
140	0.4538242191
141	0.4536185559
142	0.4534067858
143	0.4531684851
144	0.4528556294
145	0.4526089377
146	0.4524026609
147	0.4521173055
148	0.4519646861
149	0.4517145627
150	0.4512916458
151	0.4511355889
152	0.4508528776
153	0.4506940422
154	0.4505613622
155	0.4501159701
156	0.4498273801
157	0.4495921637
158	0.449165069
159	0.4489866469
160	0.4486778056
161	0.448460198
162	0.4481942201
163	0.4480132698
164	0.4478201884
165	0.4476419302
166	0.4473215356
167	0.4471219838
168	0.4468839754
169	0.4466540919
170	0.4463198839
171	0.4461425397
172	0.4459559666
173	0.4458117757
174	0.4455111853
175	0.4453280333
176	0.4451200108
177	0.4449540806
178	0.4448434043
179	0.4445915672
180	0.4443327958
181	0.4441659205
182	0.4438911447
183	0.4438001699
184	0.4436058912
185	0.4434687166
186	0.4432187752
