iter	Passed	Remaining
429	1743	2311
430	1746	2306
431	1750	2301
432	1753	2296
433	1756	2291
434	1760	2286
435	1763	2281
436	1767	2276
437	1770	2271
438	1773	2266
439	1777	2262
440	1780	2257
441	1784	2252
442	1787	2247
443	1791	2242
444	1794	2238
445	1798	2233
446	1801	2228
447	1804	2223
448	1808	2218
449	1811	2214
450	1814	2209
451	1818	2204
452	1821	2199
453	1825	2195
454	1828	2190
455	1831	2185
456	1835	2180
457	1838	2175
458	1842	2171
459	1845	2166
460	1848	2161
461	1852	2156
462	1855	2152
463	1858	2147
464	1862	2142
465	1865	2137
466	1872	2137
467	1877	2133
468	1880	2129
469	1884	2124
470	1887	2120
471	1891	2115
472	1894	2110
473	1897	2106
474	1901	2101
475	1904	2096
476	1908	2092
477	1911	2087
478	1915	2083
479	1918	2078
480	1922	2074
481	1926	2070
482	1930	2066
483	1933	2061
484	1936	2056
485	1940	2052
486	1944	2047
487	1947	2043
488	1950	2038
489	1954	2034
490	1957	2029
491	1961	2024
492	1964	2020
493	1967	2015
494	1971	2011
495	1974	2006
496	1978	2002
497	1981	1997
498	1985	1993
499	1988	1988
500	1991	1983
501	1995	1979
502	1998	1974
503	2001	1970
504	2005	1965
505	2008	1960
506	2011	1956
507	2015	1951
508	2018	1947
509	2021	1942
510	2025	1938
511	2028	1933
512	2032	1929
513	2035	1924
514	2038	1920
515	2042	1915
516	2045	1911
517	2049	1906
518	2052	1902
519	2056	1897
520	2059	1893
521	2062	1888
522	2066	1884
523	2069	1879
524	2072	1875
525	2076	1871
526	2079	1866
527	2083	1862
528	2086	1858
529	2090	1853
530	2093	1849
531	2096	1844
532	2100	1840
533	2103	1835
534	2107	1831
535	2110	1826
536	2114	1822
537	2117	1818
538	2120	1813
539	2124	1809
540	2128	1806
541	2132	1801
542	2136	1797
543	2139	1793
544	2144	1790
545	2148	1786
546	2153	1783
547	2157	1779
548	2161	1775
549	2167	1773
550	2171	1769
551	2175	1765
552	2179	1761
553	2184	1758
554	2189	1755
555	2193	1751
556	2197	1747
557	2204	1746
558	2209	1743
559	2213	1739
560	2217	1735
561	2221	1731
562	2225	1727
563	2230	1724
564	2235	1721
565	2239	1716
566	2242	1712
567	2246	1708
568	2249	1704
569	2253	1700
570	2257	1696
571	2260	1691
572	2264	1687
573	2270	1685
574	2275	1681
575	2278	1677
576	2282	1673
577	2285	1668
578	2289	1664
579	2292	1660
580	2295	1655
581	2299	1651
582	2302	1646
583	2305	1642
584	2309	1638
585	2314	1634
586	2318	1630
587	2321	1626
588	2324	1622
589	2328	1617
590	2331	1613
591	2335	1609
592	2338	1605
593	2341	1600
594	2345	1596
595	2348	1592
596	2352	1587
597	2355	1583
598	2358	1579
599	2362	1574
600	2365	1570
601	2369	1566
602	2375	1563
603	2378	1559
604	2383	1556
605	2386	1551
606	2390	1547
607	2393	1543
608	2397	1539
609	2400	1534
610	2404	1530
611	2407	1526
612	2410	1522
613	2414	1517
614	2417	1513
615	2421	1509
616	2424	1504
617	2427	1500
618	2431	1496
619	2434	1492
620	2438	1488
621	2441	1483
622	2444	1479
623	2448	1475
624	2451	1471
625	2455	1466
626	2458	1462
627	2462	1458
628	2465	1454
629	2469	1450
630	2472	1446
631	2476	1441
632	2479	1437
633	2483	1433
634	2486	1429
635	2489	1424
636	2493	1420
637	2496	1416
638	2499	1412
639	2503	1408
640	2506	1403
641	2509	1399
642	2513	1395
643	2516	1391
644	2519	1386
645	2523	1382
646	2526	1378
647	2530	1374
648	2534	1370
649	2537	1366
650	2540	1362
651	2544	1357
652	2547	1353
653	2551	1349
654	2554	1345
655	2557	1341
656	2561	1337
657	2564	1332
658	2567	1328
659	2571	1324
660	2574	1320
661	2577	1316
662	2581	1312
663	2584	1307
664	2587	1303
665	2591	1299
666	2594	1295
667	2598	1291
668	2601	1287
669	2604	1282
670	2607	1278
671	2611	1274
672	2614	1270
673	2618	1266
674	2621	1262
675	2624	1257
676	2629	1254
677	2632	1250
678	2635	1246
679	2639	1242
680	2642	1237
681	2646	1233
682	2649	1229
683	2652	1225
684	2656	1221
685	2659	1217
686	2662	1213
687	2665	1208
688	2669	1204
689	2672	1200
690	2676	1196
691	2679	1192
692	2682	1188
693	2686	1184
694	2689	1180
695	2692	1176
696	2696	1172
697	2699	1167
698	2702	1163
699	2705	1159
700	2709	1155
701	2712	1151
702	2716	1147
703	2719	1143
704	2723	1139
705	2726	1135
706	2730	1131
707	2733	1127
708	2737	1123
709	2740	1119
710	2743	1115
711	2747	1111
712	2750	1107
713	2753	1103
714	2757	1099
715	2760	1094
716	2763	1090
717	2767	1086
718	2770	1082
719	2773	1078
720	2777	1074
721	2780	1070
722	2784	1066
723	2787	1062
724	2790	1058
725	2794	1054
726	2797	1050
727	2802	1046
728	2806	1043
729	2810	1039
730	2815	1036
731	2820	1032
732	2825	1029
733	2829	1025
734	2840	1024
735	2845	1020
736	2849	1016
737	2854	1013
738	2857	1009
739	2861	1005
740	2865	1001
741	2868	997
742	2872	993
743	2875	989
744	2879	985
745	2882	981
746	2886	977
747	2889	973
748	2892	969
749	2896	965
750	2899	961
751	2902	957
752	2906	953
753	2909	949
754	2913	945
755	2916	941
756	2919	937
757	2923	933
758	2926	929
759	2929	925
760	2934	921
761	2937	917
762	2941	913
763	2944	909
764	2947	905
765	2951	901
766	2954	897
767	2957	893
768	2961	889
769	2964	885
770	2967	881
771	2971	877
772	2974	873
773	2977	869
774	2981	865
775	2984	861
776	2987	857
777	2991	853
778	2994	849
779	2997	845
780	3001	841
781	3004	837
782	3007	833
783	3011	829
784	3014	825
785	3017	821
786	3021	817
787	3024	813
788	3027	809
789	3031	805
790	3035	802
791	3038	798
792	3042	794
793	3045	790
794	3049	786
795	3052	782
796	3055	778
797	3059	774
798	3062	770
799	3065	766
800	3069	762
801	3072	758
802	3075	754
803	3079	750
804	3082	746
805	3085	742
806	3088	738
807	3092	734
808	3095	730
809	3098	726
810	3102	722
811	3106	719
812	3109	715
813	3112	711
814	3116	707
815	3119	703
816	3122	699
817	3126	695
818	3129	691
819	3132	687
820	3137	684
821	3141	680
822	3144	676
823	3147	672
824	3150	668
825	3154	664
826	3157	660
827	3161	656
828	3164	652
829	3167	648
830	3171	644
831	3174	641
832	3178	637
833	3181	633
834	3184	629
835	3187	625
836	3191	621
837	3194	617
838	3197	613
839	3201	609
840	3204	605
841	3208	601
842	3211	598
843	3214	594
844	3217	590
845	3221	586
846	3224	582
847	3227	578
848	3231	574
849	3234	570
850	3238	567
851	3241	563
852	3245	559
853	3248	555
854	3251	551
855	3255	547
856	3258	543
857	3261	539
858	3265	535
859	3268	532
860	3271	528
861	3274	524
862	3278	520
863	3281	516
864	3284	512
865	3288	508
866	3291	504
867	3294	501
868	3298	497
869	3301	493
870	3305	489
871	3308	485
872	3311	481
873	3315	477
874	3318	474
875	3322	470
876	3325	466
877	3328	462
878	3332	458
879	3335	454
880	3340	451
881	3343	447
882	3346	443
883	3349	439
884	3353	435
885	3356	431
886	3359	428
887	3363	424
888	3366	420
889	3369	416
890	3373	412
891	3376	408
892	3379	404
893	3383	401
894	3386	397
895	3389	393
896	3392	389
897	3396	385
898	3399	381
899	3402	378
900	3406	374
901	3409	370
902	3412	366
903	3416	362
904	3419	358
905	3422	355
906	3426	351
907	3429	347
908	3432	343
909	3436	339
910	3440	336
911	3443	332
912	3446	328
913	3450	324
914	3453	320
915	3457	317
916	3460	313
917	3463	309
918	3467	305
919	3470	301
920	3474	297
921	3477	294
922	3480	290
923	3483	286
924	3487	282
925	3490	278
926	3493	275
927	3497	271
928	3501	267
929	3504	263
930	3507	259
931	3511	256
932	3514	252
933	3517	248
934	3521	244
935	3524	240
936	3527	237
937	3531	233
938	3534	229
939	3537	225
940	3541	222
941	3544	218
942	3548	214
943	3551	210
944	3554	206
945	3558	203
946	3561	199
947	3564	195
948	3568	191
949	3571	187
950	3574	184
951	3577	180
952	3581	176
953	3584	172
954	3587	169
955	3591	165
956	3594	161
957	3597	157
958	3601	153
959	3604	150
960	3607	146
961	3611	142
962	3614	138
963	3617	135
964	3621	131
965	3624	127
966	3627	123
967	3631	120
968	3634	116
969	3638	112
970	3642	108
971	3645	105
972	3648	101
973	3651	97
974	3655	93
975	3658	89
976	3662	86
977	3665	82
978	3668	78
979	3672	74
980	3675	71
981	3678	67
982	3682	63
983	3685	59
984	3688	56
985	3692	52
986	3695	48
987	3699	44
988	3702	41
989	3706	37
990	3709	33
991	3712	29
992	3715	26
993	3719	22
994	3722	18
995	3726	14
996	3729	11
997	3732	7
998	3736	3
999	3739	0
